STRUCTURE,STRUCTURE_ID,FREQ,DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,TIME_PERIOD,AVAILABILITY,COLLECTION,OBS_STATUS,OBS_CONF,OBS_VALUE
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2002,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2003,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2004,K,S,A,F,14206.490766
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2005,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2006,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2007,K,S,A,F,29929.036014
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2008,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2009,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2010,K,S,A,F,31040.395041
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2011,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2012,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2013,K,S,A,F,29910.713935
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2014,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2015,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2016,K,S,A,F,31706.700174
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2017,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2018,K,S,M,F,
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,TO1,A,A,3,C,2019,K,S,A,F,90268.313643
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,USD,A,A,3,C,1992,K,S,A,F,6672.275
dataflow,BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,USD,A,A,3,C,1993,K,S,M,F,
